species,sp,id,dur,status,stc
aegialia_arenaria,AA,u1,2,dead,2
aegialia_arenaria,AA,u2,2,dead,2
aegialia_arenaria,AA,u3,2,dead,2
aegialia_arenaria,AA,u4,1,dead,2
aegialia_arenaria,AA,st19,4,dead,2
aegialia_arenaria,AA,st20,4,dead,2
aegialia_arenaria,AA,st21,3,dead,2
aegialia_arenaria,AA,st22,8,dead,2
aegialia_arenaria,AA,st23,3,dead,2
aegialia_arenaria,AA,st24,12,alive,1
aegialia_arenaria,AA,st25,2,dead,2
aegialia_arenaria,AA,st26,3,dead,2
aegialia_arenaria,AA,st27,4,alive,1
aegialia_arenaria,AA,st28,6,dead,2
aegialia_arenaria,AA,st29,6,dead,2
aegialia_arenaria,AA,st30,5,dead,2
aegialia_arenaria,AA,st31,4,dead,2
aegialia_arenaria,AA,st32,9,alive,1
aegialia_arenaria,AA,st33,6,dead,2
aphodius_contaminatus,AC,u5,2,dead,2
aphodius_contaminatus,AC,u6,2,dead,2
aphodius_contaminatus,AC,u7,2,dead,2
aphodius_contaminatus,AC,u8,2,dead,2
aphodius_contaminatus,AC,st1,3,dead,2
aphodius_contaminatus,AC,st2,3,dead,2
aphodius_contaminatus,AC,st3,3,dead,2
aphodius_contaminatus,AC,st4,3,dead,2
aphodius_contaminatus,AC,st5,3,dead,2
aphodius_contaminatus,AC,st6,3,dead,2
aphodius_contaminatus,AC,st7,3,dead,2
aphodius_contaminatus,AC,st8,3,dead,2
notiophilus_germinyi,NG,u9,2,dead,2
notiophilus_germinyi,NG,st36,3,dead,2
notiophilus_germinyi,NG,st37,5,dead,2
notiophilus_germinyi,NG,st38,3,dead,2
bledius_subniger,BS,st9,9,alive,1
bledius_subniger,BS,st10,1,dead,2
bledius_subniger,BS,st11,9,alive,1
bledius_subniger,BS,st12,9,alive,1
bledius_subniger,BS,st13,4,dead,2
bledius_subniger,BS,st14,7,dead,2
bledius_subniger,BS,st15,4,dead,2
bledius_subniger,BS,st16,1,dead,2
bledius_subniger,BS,st17,6,dead,2
